Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
13.05.2023 08:30,Wolfsburgo,Hoffenheim,2,1,1.06,1.29,47%,53%,8,10,3,2,5,8,,,22,16,3,7,0,7,24,20,2,1,17,12,,,2,2,379,455,284,355,,,101,110,36,50,1
12.05.2023 13:30,Colonia,Hertha BSC,5,2,3.84,0.96,61%,39%,28,9,15,3,13,6,,,13,10,12,3,0,0,23,18,1,10,11,14,,,2,7,501,291,436,218,,,119,88,67,40,3
07.05.2023 10:30,Borussia Dortmund,Wolfsburgo,6,0,4.99,1.66,57%,43%,20,10,10,3,10,7,,,15,12,10,6,2,2,12,9,3,4,11,14,,,0,1,496,372,438,321,,,79,82,57,33,6
06.05.2023 11:30,Werder Bremen,Bayern Múnich,1,2,0.66,1.82,36%,64%,12,12,2,4,10,8,,,12,15,1,11,1,0,14,25,2,1,14,11,,,2,1,320,658,250,586,,,78,153,40,75,-1
06.05.2023 08:30,Augsburgo,Unión Berlín,1,0,0.67,0.47,43%,57%,11,12,3,4,8,8,,,16,11,3,7,0,2,11,17,4,2,10,14,,,2,2,268,469,212,410,,,82,100,28,52,1
06.05.2023 08:30,Borussia M'gladbach,Bochum,2,0,2.27,1.11,52%,48%,25,14,9,3,16,11,,,16,10,11,3,3,2,19,26,3,7,7,13,,,2,1,398,316,306,226,,,112,97,45,39,2
06.05.2023 08:30,Friburgo,RB Leipzig,0,1,0.36,2.27,43%,57%,5,13,2,6,3,7,,,14,13,3,3,4,2,23,23,5,2,9,11,,,2,4,352,532,253,431,,,103,115,48,43,-1
06.05.2023 08:30,Hertha BSC,Stuttgart,2,1,1.06,1.68,38%,62%,7,16,3,4,4,12,,,23,11,3,5,1,2,21,21,3,1,9,19,,,4,1,238,601,161,517,,,88,154,21,56,1
06.05.2023 08:30,Hoffenheim,Eintracht Frankfurt,3,1,2.46,1.66,41%,59%,8,19,5,6,3,13,,,12,16,1,11,2,0,14,14,5,2,17,14,1,0,2,4,236,543,182,467,,,69,125,32,84,2
05.05.2023 13:30,Bayer Leverkusen,Colonia,1,2,0.89,0.90,58%,42%,14,7,4,5,10,2,,,13,11,9,2,3,0,30,22,3,3,8,13,,,1,6,666,345,544,266,,,120,120,65,29,-1
05.05.2023 13:30,Mainz,Schalke,2,3,1.94,3.03,55%,45%,9,15,4,10,5,5,,,11,16,7,6,3,1,34,19,7,2,12,10,,,4,1,373,293,269,199,,,99,105,56,46,-1
30.04.2023 10:30,Wolfsburgo,Mainz,3,0,1.59,1.09,53%,47%,10,10,4,2,6,8,,,,,3,5,2,3,,,2,1,6,10,,,1,3,465,442,372,358,,,119,102,38,44,3
30.04.2023 08:30,Bayern Múnich,Hertha BSC,2,0,3.05,0.16,75%,25%,25,2,9,1,16,1,,,,,18,1,2,2,,,1,7,5,8,,,2,0,757,168,689,106,,,196,51,138,18,2
29.04.2023 11:30,Schalke,Werder Bremen,2,1,1.43,1.36,56%,44%,21,11,10,1,11,10,,,,,11,3,4,4,,,0,8,9,17,,,4,3,383,321,306,238,,,129,72,55,21,1
29.04.2023 08:30,Colonia,Friburgo,0,1,2.03,1.76,57%,43%,21,12,8,6,13,6,,,,,9,6,1,0,,,5,8,15,7,,,1,1,422,335,350,241,,,102,103,69,42,-1
29.04.2023 08:30,Eintracht Frankfurt,Augsburgo,1,1,0.67,0.58,56%,44%,7,9,1,3,6,6,,,,,5,7,4,3,,,2,0,6,11,,,2,2,530,350,413,242,,,101,120,46,37,0
29.04.2023 08:30,RB Leipzig,Hoffenheim,1,0,1.55,0.35,56%,44%,16,5,2,2,14,3,,,,,7,1,3,1,,,2,1,9,14,,,0,2,582,420,501,336,,,120,120,54,38,1
29.04.2023 08:30,Stuttgart,Borussia M'gladbach,2,1,2.51,1.29,45%,55%,18,9,5,4,13,5,,,,,5,8,3,0,,,3,3,11,14,0,1,2,2,452,643,380,559,,,97,130,50,39,1
29.04.2023 08:30,Unión Berlín,Bayer Leverkusen,0,0,0.62,0.59,38%,62%,7,8,1,2,6,6,,,,,6,4,1,1,,,2,1,9,8,,,1,1,317,640,228,570,,,69,156,49,46,0
28.04.2023 13:30,Bochum,Borussia Dortmund,1,1,0.65,2.87,38%,62%,10,20,4,6,6,14,,,,,4,11,2,1,,,5,3,13,9,,,1,2,236,501,160,416,,,75,108,30,68,0
23.04.2023 12:30,Borussia M'gladbach,Unión Berlín,0,1,0.49,1.72,56%,44%,8,14,4,4,4,10,,,13,8,2,2,0,3,19,11,3,4,10,12,,,3,2,665,416,592,345,,,140,86,59,35,-1
23.04.2023 10:30,Bayer Leverkusen,RB Leipzig,2,0,1.28,2.58,37%,63%,8,26,6,8,2,18,,,11,10,0,9,1,3,14,18,8,4,10,9,0,1,3,5,317,706,235,600,,,64,139,23,69,2
23.04.2023 08:30,Friburgo,Schalke,4,0,3.09,0.63,50%,50%,25,10,12,4,13,6,,,10,10,6,5,2,1,27,18,4,8,9,10,,,1,2,320,403,246,330,,,78,81,43,38,4
22.04.2023 11:30,Borussia Dortmund,Eintracht Frankfurt,4,0,1.65,0.97,55%,45%,14,9,7,2,7,7,,,15,11,5,2,1,3,28,18,2,3,10,13,,,2,3,495,423,412,339,,,105,110,60,47,4
22.04.2023 08:30,Bochum,Wolfsburgo,1,5,3.52,3.75,50%,50%,23,15,6,7,17,8,,,6,12,10,3,4,0,29,17,2,5,11,8,,,3,3,343,293,264,223,,,93,75,66,38,-4
22.04.2023 08:30,Hertha BSC,Werder Bremen,2,4,1.82,2.78,54%,46%,13,11,5,4,8,7,,,12,12,8,4,0,1,29,29,0,3,11,12,,,2,2,420,361,332,271,,,111,89,46,31,-2
22.04.2023 08:30,Hoffenheim,Colonia,1,3,1.12,1.62,50%,50%,11,14,4,7,7,7,,,14,11,2,5,1,3,22,20,4,3,11,11,,,1,2,452,380,362,296,,,124,96,49,41,-2
22.04.2023 08:30,Mainz,Bayern Múnich,3,1,2.14,2.09,30%,70%,13,11,4,2,9,9,,,10,17,2,7,1,3,17,23,1,1,14,6,,,2,0,243,732,156,644,,,101,111,40,73,2
21.04.2023 13:30,Augsburgo,Stuttgart,1,1,0.60,1.50,43%,57%,4,6,1,3,3,3,,,13,15,1,3,0,1,23,30,2,0,17,12,,,5,3,300,501,228,426,,,88,92,57,38,0
16.04.2023 12:30,Wolfsburgo,Bayer Leverkusen,0,0,1.06,1.26,46%,54%,11,13,3,4,8,9,,,18,11,2,5,1,2,14,25,4,3,10,17,,,0,5,448,597,376,513,,,128,105,33,57,0
16.04.2023 10:30,Unión Berlín,Bochum,1,1,1.41,1.73,44%,56%,10,14,2,8,8,6,,,6,12,5,7,4,0,23,23,7,1,10,7,1,0,2,1,290,471,206,377,,,108,109,31,52,0
16.04.2023 08:30,Werder Bremen,Friburgo,1,2,1.98,0.67,52%,48%,13,6,5,3,8,3,,,16,11,5,2,1,4,16,9,1,4,13,12,,,2,3,454,465,359,377,,,113,125,52,41,-1
15.04.2023 11:30,Eintracht Frankfurt,Borussia M'gladbach,1,1,2.39,1.12,55%,45%,16,4,5,2,11,2,,,5,17,10,2,2,2,23,20,1,4,16,5,,,1,2,553,407,448,322,,,151,67,86,20,0
15.04.2023 08:30,Bayern Múnich,Hoffenheim,1,1,1.89,0.83,61%,39%,22,4,7,3,15,1,,,11,7,13,4,1,1,16,12,2,6,7,10,,,2,1,659,331,587,265,,,142,99,79,41,0
