Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
28.04.2023 11:30,Lecce,Udinese,1,0.9375,42.666666666666664%,47.6875%,12.333333333333334,12.25,3.2,3.4375,5.4,5.1875,3.7333333333333334,3.625,14.533333333333333,16.125,5.266666666666667,4.4375,1.8666666666666667,1.6875,23.0,17.75,2.6,2.625,15.2,12.0,0.06666666666666667,0.0,2.533333333333333,2.5,343.6,410.875,251.93333333333334,338.3125,17.8,16.875,107.93333333333334,93.5,44.333333333333336,45.25,
28.04.2023 13:45,Spezia,Monza,1,1.066666666666667,48.125%,52.4%,11.1875,9.333333333333334,3.5,3.0,4.6875,3.7333333333333334,3.0,2.6,13.0,17.4,5.0625,3.066666666666667,1.25,1.6,24.8125,18.266666666666666,3.1875,3.466666666666667,13.375,13.933333333333334,0.25,0.13333333333333333,2.5625,2.4,400.25,472.26666666666665,306.875,398.2,17.8125,17.133333333333333,102.1875,89.73333333333333,47.625,35.666666666666664,
29.04.2023 08:00,Nápoles,Salernitana,2.2,0.9333333333333333,62.733333333333334%,44.86666666666667%,17.733333333333334,9.466666666666667,6.0,3.1333333333333333,6.0,4.133333333333334,5.733333333333333,2.2,15.266666666666667,14.8,6.866666666666666,3.6666666666666665,1.6666666666666667,1.8666666666666667,22.133333333333333,21.8,2.066666666666667,3.7333333333333334,8.6,12.333333333333334,0.0,0.13333333333333333,0.8666666666666667,2.2666666666666666,608.0,393.1333333333333,534.3333333333334,303.93333333333334,15.533333333333333,16.333333333333332,126.53333333333333,90.66666666666667,61.4,33.53333333333333,
29.04.2023 11:00,Roma,AC Milan,1.533333333333333,1.3125,48.46666666666667%,53.4375%,14.466666666666667,13.3125,5.466666666666667,5.125,4.8,4.9375,4.2,3.25,13.666666666666666,15.25,5.8,4.1875,1.8,1.9375,20.0,22.0,2.466666666666667,2.5,12.266666666666667,12.125,0.06666666666666667,0.0625,1.9333333333333333,2.4375,425.6,433.5,348.2,351.25,17.333333333333332,18.0625,87.8,106.375,42.86666666666667,42.4375,
29.04.2023 13:45,Torino,Atalanta,0.8,1.5,56.6%,48.3125%,11.933333333333334,11.1875,3.6666666666666665,3.875,4.933333333333334,4.0,3.3333333333333335,3.3125,13.4,12.875,5.066666666666666,4.125,2.7333333333333334,1.0,21.733333333333334,23.0625,1.8666666666666667,3.125,12.0,12.8125,0.0,0.125,2.0,2.625,488.1333333333333,440.6875,400.46666666666664,348.375,11.4,18.0,109.8,105.5,45.46666666666667,51.4375,
30.04.2023 05:30,Inter,Lazio,1.6875,1.6,56.75%,50.6%,15.875,10.133333333333333,4.5625,4.0,6.6875,3.466666666666667,4.625,2.6666666666666665,14.375,15.866666666666667,5.5,4.333333333333333,1.6875,1.4,19.875,17.4,2.1875,2.3333333333333335,10.375,9.4,0.125,0.0,1.5625,2.2,503.8125,527.4,429.8125,445.46666666666664,16.0625,15.066666666666666,106.75,93.06666666666666,53.375,36.266666666666666,
30.04.2023 08:00,Cremonese,Verona,0.6,0.4666666666666667,42.333333333333336%,43.53333333333333%,13.0,9.933333333333334,3.3333333333333335,2.466666666666667,6.0,4.733333333333333,3.6666666666666665,2.7333333333333334,15.266666666666667,11.333333333333334,3.466666666666667,4.733333333333333,2.3333333333333335,2.066666666666667,23.2,19.8,3.4,2.933333333333333,12.6,15.666666666666666,0.0,0.13333333333333333,1.8666666666666667,2.7333333333333334,350.6,331.3333333333333,261.8,243.66666666666666,19.466666666666665,17.2,90.73333333333333,102.13333333333334,42.733333333333334,40.8,
30.04.2023 08:00,Sassuolo,Empoli,1.266666666666667,0.75,48.0%,46.1875%,12.866666666666667,9.625,4.533333333333333,3.0,4.733333333333333,3.75,3.6,2.875,17.066666666666666,15.0625,4.6,3.875,0.8,1.125,21.266666666666666,21.0,2.0,2.875,11.8,11.625,0.06666666666666667,0.125,2.466666666666667,2.5,426.46666666666664,405.6875,351.06666666666666,327.0,13.066666666666666,14.0,91.86666666666666,91.3125,43.13333333333333,35.8125,
30.04.2023 11:00,Fiorentina,Sampdoria,1.3125,0.7333333333333333,58.25%,46.06666666666667%,18.25,10.533333333333333,5.75,3.933333333333333,7.6875,3.7333333333333334,4.8125,2.8666666666666667,20.0625,17.266666666666666,6.6875,3.4,1.5,1.6,23.375,21.333333333333332,2.0625,4.2,12.0625,14.333333333333334,0.0,0.06666666666666667,1.875,3.466666666666667,462.0,391.8,385.75,304.0,15.4375,18.333333333333332,118.1875,96.86666666666666,65.1875,40.2,
30.04.2023 13:45,Bolonia,Juventus,1.3125,0.8666666666666667,53.625%,49.666666666666664%,12.8125,11.933333333333334,4.0,3.933333333333333,6.125,5.066666666666666,2.6875,2.933333333333333,17.125,13.6,4.0625,5.2,2.3125,1.2666666666666666,24.5,19.2,2.6875,2.533333333333333,11.875,11.6,0.0625,0.26666666666666666,2.125,2.3333333333333335,465.8125,435.2,377.375,361.73333333333335,17.875,16.133333333333333,97.3125,96.66666666666667,40.8125,37.6,
