Las Palmas,1.1,62.5,15.6,5.8,5.3,4.5,16.6,7.5,2.5,24.7,2.3,13.1,0.0,2.4,547.7,467.6,17.7,128.2,56.9
Racing,0.4,44.7,11.9,4.2,4.8,2.9,17.7,6.5,1.8,24.5,2.6,12.6,0.2,1.8,330.2,244.5,18.0,104.4,45.9
Eibar,1.4,61.0,14.1,4.3,5.4,4.4,14.8,6.6,2.8,27.9,1.5,12.4,0.0,2.8,512.0,406.0,13.2,137.0,61.4
Granada,2.1,60.6,13.1,4.6,5.6,2.9,16.8,6.0,1.8,25.3,1.3,12.8,0.1,2.7,442.1,353.4,15.5,108.1,44.2
Ponferradina,1.0,54.1,11.6,3.4,5.2,3.0,15.8,3.9,1.6,21.9,2.1,13.3,0.2,2.7,461.2,379.1,12.8,98.4,45.3
Sporting de Gijón,1.5,47.0,13.4,4.8,5.2,3.4,12.5,3.5,2.9,21.0,1.8,14.6,0.0,2.2,370.0,286.7,19.0,109.4,39.2
UD Ibiza,0.9090909090909091,48.18181818181818,9.454545454545455,3.0,4.181818181818182,2.272727272727273,15.727272727272727,4.545454545454546,2.272727272727273,24.09090909090909,2.0,15.181818181818182,0.2727272727272727,2.8181818181818183,364.8181818181818,273.0,16.90909090909091,88.36363636363636,41.09090909090909
Real Zaragoza,1.1,58.2,12.1,4.4,5.1,2.6,13.8,7.7,2.1,27.6,1.2,12.8,0.0,2.2,460.5,370.6,13.1,107.5,55.4
Andorra,1.4,68.3,15.3,5.5,5.5,4.3,16.9,6.3,1.2,19.2,2.5,11.0,0.0,1.3,606.5,532.2,11.5,116.8,64.5
Villarreal B,1.6,52.7,12.6,5.5,4.1,3.0,19.1,4.2,1.7,15.8,2.1,13.6,0.2,2.5,432.5,352.6,17.5,100.1,38.4
Málaga,0.8888888888888888,53.55555555555556,12.88888888888889,4.666666666666667,4.444444444444445,3.7777777777777777,17.555555555555557,4.0,2.111111111111111,19.666666666666668,3.2222222222222223,13.333333333333334,0.0,2.5555555555555554,428.55555555555554,340.8888888888889,16.77777777777778,97.55555555555556,48.888888888888886
Levante,1.1,54.5,12.3,4.5,5.8,2.0,14.8,4.7,2.2,21.6,2.5,16.2,0.0,2.7,432.6,356.5,15.7,111.0,46.8
Lugo,0.7,38.7,10.8,2.8,5.8,2.2,12.7,3.7,1.5,20.9,3.0,15.7,0.2,2.8,268.6,179.8,15.3,94.9,35.7
Burgos CF,1.2,45.2,10.2,3.0,5.2,2.0,14.4,3.5,2.3,22.2,2.9,11.4,0.1,2.5,341.6,249.4,14.9,97.2,38.6
Tenerife,1.2,50.7,16.1,4.8,7.4,3.9,16.2,6.4,2.3,21.3,1.8,14.8,0.1,2.4,379.3,304.6,15.8,97.6,47.7
Cartagena,1.3,56.3,15.0,5.2,7.5,2.3,12.9,5.7,2.2,21.5,2.5,14.0,0.1,2.7,469.3,386.4,12.3,110.7,48.9
Huesca,1.1,37.5,8.3,2.4,4.3,1.6,13.4,3.4,2.0,21.6,1.7,13.8,0.3,2.3,278.4,191.8,16.5,86.0,35.8
Albacete,0.9,53.8,11.3,3.7,4.4,3.2,14.8,5.1,1.7,25.2,2.1,13.7,0.3,2.0,411.6,327.0,14.2,112.5,51.7
Leganés,1.2,55.5,10.7,3.5,4.7,2.5,16.6,4.0,1.7,23.9,1.5,15.1,0.1,2.9,450.3,363.7,12.8,98.7,45.0
Real Oviedo,0.6,45.9,9.6,3.4,4.7,1.5,15.6,4.5,1.8,22.9,1.7,12.5,0.2,2.5,356.4,261.4,16.0,103.5,45.6
Mirandés,1.6,45.8,14.5,4.6,5.7,4.2,13.1,4.5,1.5,23.1,3.0,14.3,0.0,2.3,358.4,270.7,15.7,100.2,41.6
Alavés,1.3333333333333333,43.77777777777778,11.222222222222221,4.222222222222222,4.666666666666667,2.3333333333333335,16.88888888888889,4.777777777777778,2.2222222222222223,23.88888888888889,1.2222222222222223,13.777777777777779,0.1111111111111111,1.8888888888888888,328.22222222222223,244.55555555555554,16.0,94.33333333333333,44.55555555555556
