Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HDC,ADC,HDistancia Cubierta (km),ADistancia Cubierta (km),Resultado,,,
01.12.2023 14:30,Darmstadt,Colonia,0,1,0.79,1.77,45%,55%,11,11,1,6,10,5,,,17,16,1,6,3,3,21,27,5,1,12,12,,,1,3,377,447,294,371,,,99,90,38,41,,,,,,,117,121
26.11.2023 11:30,Hoffenheim,Mainz,1,1,1.49,1.96,56%,44%,15,15,6,6,9,9,,,15,8,4,5,0,1,20,18,5,5,9,14,,,4,4,505,428,419,347,,,154,108,45,54,,,,,,,123,123
26.11.2023 09:30,Heidenheim,Bochum,0,0,1.01,0.39,52%,48%,9,9,3,2,6,7,,,11,18,6,5,4,3,29,22,2,3,14,7,,,4,3,409,432,294,324,,,97,112,49,45,,,,,,,117,115
25.11.2023 12:30,Eintracht Frankfurt,Stuttgart,1,2,0.79,2.03,56%,44%,14,11,1,5,13,6,,,10,13,4,2,0,4,30,20,3,0,14,8,,,0,1,597,433,513,368,,,128,93,50,42,,,,,,,123,123
25.11.2023 09:30,Borussia Dortmund,Borussia M'gladbach,4,2,3.09,1.05,54%,46%,20,10,13,3,7,7,,,12,14,5,4,1,1,14,26,1,9,11,11,,,1,2,549,512,472,440,,,117,100,35,48,,,,,,,121,122
25.11.2023 09:30,Friburgo,Darmstadt,1,1,1.86,0.48,63%,37%,16,7,3,1,13,6,,,17,17,11,2,2,1,19,15,0,2,15,15,,,2,0,594,303,511,224,,,131,74,62,24,,,,,,,118,118
25.11.2023 09:30,Union Berlin,Augsburgo,1,1,2.32,1.48,56%,44%,16,11,6,2,10,9,,,17,13,3,4,3,2,22,19,1,5,10,15,,,2,2,546,327,464,249,,,114,103,41,38,,,,,,,123,123
25.11.2023 09:30,Werder Bremen,Bayer Leverkusen,0,3,0.31,1.11,45%,55%,2,13,1,4,1,9,,,6,19,1,6,5,2,14,17,2,1,15,4,,,3,1,480,690,394,593,,,92,113,39,52,,,,,,,120,121
25.11.2023 09:30,Wolfsburgo,RB Leipzig,2,1,0.86,3.72,42%,58%,10,26,4,10,6,16,,,15,17,1,12,0,4,13,19,9,2,18,11,,,4,2,329,591,260,502,,,90,117,30,85,,,,,,,123,117
24.11.2023 14:30,Colonia,Bayern Múnich,0,1,0.47,3.13,36%,64%,6,19,2,5,4,14,,,4,6,3,12,1,1,22,22,4,2,6,4,,,0,1,344,753,272,678,,,78,136,39,55,,,,,,,124,115
12.11.2023 13:30,RB Leipzig,Friburgo,3,1,1.79,0.58,60%,40%,15,9,6,3,9,6,,,15,10,7,3,0,4,10,25,2,3,10,12,,,2,0,630,347,567,288,,,117,104,37,39,,,,,,,,
12.11.2023 11:30,Werder Bremen,Eintracht Frankfurt,2,2,1.85,2.47,50%,50%,14,14,5,3,9,11,,,11,4,3,7,1,2,16,14,1,3,3,10,,,1,3,514,539,442,469,,,101,121,33,62,,,,,,,,
12.11.2023 09:30,Bayer Leverkusen,Union Berlin,4,0,2.51,0.07,66%,34%,19,2,10,2,9,0,,,4,11,10,1,3,0,13,10,2,6,8,5,,,0,1,813,377,748,298,,,170,72,46,27,,,,,,,,
11.11.2023 12:30,Bochum,Colonia,1,1,3.64,0.87,52%,48%,25,10,9,6,16,4,,,19,17,3,3,1,1,32,30,5,8,14,19,,,4,1,369,360,269,259,,,141,82,68,36,,,,,,,,
