Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HDC,ADC,HDistancia Cubierta (km),ADistancia Cubierta (km),Resultado,,,
01.09.2023 13:30,Borussia Dortmund,Heidenheim,2,2,2.92,2.72,63%,37%,20,15,9,6,11,9,,,25,10,3,6,2,3,17,22,4,7,9,22,,,3,3,516,285,444,211,,,123,76,67,37,,,,,,,,
27.08.2023 10:30,Bayern Múnich,Augsburgo,3,1,2.83,0.92,58%,42%,19,11,6,2,13,9,,,5,9,10,4,1,2,15,12,1,3,13,8,,,1,2,610,391,543,328,,,116,65,63,30,,,,,,,,
27.08.2023 08:30,Mainz,Eintracht Frankfurt,1,1,1.36,1.61,43%,57%,13,8,7,2,6,6,,,12,25,5,4,2,0,11,26,1,6,23,12,0,1,3,4,305,475,217,371,,,115,106,47,27,,,,,,,,
26.08.2023 11:30,Borussia M'gladbach,Bayer Leverkusen,0,3,0.72,3.09,43%,57%,13,24,2,10,11,14,,,10,7,5,8,1,2,6,13,7,2,7,8,,,2,3,453,706,385,628,,,101,117,43,66,,,,,,,,
26.08.2023 08:30,Bochum,Borussia Dortmund,1,1,0.99,1.51,41%,59%,17,13,6,3,11,10,,,7,28,5,4,6,0,24,28,2,5,21,7,,,2,1,232,477,172,401,,,125,110,39,55,,,,,,,,
26.08.2023 08:30,Colonia,Wolfsburgo,1,2,0.99,1.72,52%,48%,14,9,2,6,12,3,,,10,12,6,1,6,0,35,28,4,1,6,10,,,1,5,435,431,344,345,,,111,121,68,27,,,,,,,,
26.08.2023 08:30,Darmstadt,Union Berlin,1,4,2.49,1.89,67%,33%,18,12,6,6,12,6,,,11,16,3,5,0,0,23,19,2,5,15,12,0,1,2,2,624,195,555,137,,,147,70,56,33,,,,,,,,
26.08.2023 08:30,Friburgo,Werder Bremen,1,0,2.62,1.16,52%,48%,23,16,6,2,17,14,,,10,12,5,5,3,2,21,16,2,5,9,8,,,2,2,415,413,332,322,,,110,109,32,45,,,,,,,,
26.08.2023 08:30,Heidenheim,Hoffenheim,2,3,2.49,3.31,39%,61%,19,16,9,6,10,10,,,8,10,10,6,0,1,29,22,3,7,13,9,,,1,5,278,492,197,413,,,72,113,59,61,,,,,,,,
25.08.2023 13:30,RB Leipzig,Stuttgart,5,1,2.69,1.02,54%,46%,20,8,11,3,9,5,,,15,17,4,4,4,1,20,10,2,6,12,10,,,1,1,506,424,450,360,,,117,66,41,19,,,,,,,,
20.08.2023 10:30,Eintracht Frankfurt,Darmstadt,1,0,1.69,1.04,59%,41%,10,11,4,2,6,9,,,16,9,7,3,0,2,24,13,2,3,9,14,,,2,3,569,356,495,285,,,122,87,49,38,,,,,,,,
20.08.2023 08:30,Union Berlin,Mainz,4,1,1.88,2.48,49%,51%,12,9,7,3,5,6,,,16,11,3,1,1,0,25,18,2,3,15,16,,,1,5,349,426,276,345,,,87,125,25,46,,,,,,,,
19.08.2023 11:30,Borussia Dortmund,Colonia,1,0,1.28,1.01,65%,35%,12,11,2,4,10,7,,,11,12,6,3,1,2,19,23,4,1,13,11,,,1,0,720,349,641,272,,,153,78,60,42,,,,,,,,
19.08.2023 08:30,Augsburgo,Borussia M'gladbach,4,4,2.39,1.95,53%,47%,20,9,8,6,12,3,,,11,9,8,7,4,1,10,6,2,4,9,14,,,1,2,454,340,400,272,,,110,85,43,30,,,,,,,,
19.08.2023 08:30,Bayer Leverkusen,RB Leipzig,3,2,1.39,1.57,46%,54%,11,13,7,6,4,7,,,4,10,4,5,2,0,7,18,4,4,13,10,,,1,2,424,538,356,467,,,100,89,44,24,,,,,,,,
19.08.2023 08:30,Hoffenheim,Friburgo,1,2,2.08,2.49,51%,49%,24,17,5,8,19,9,,,4,4,4,2,3,0,11,8,6,4,9,9,,,0,1,438,428,359,351,,,124,98,65,58,,,,,,,,
19.08.2023 08:30,Stuttgart,Bochum,5,0,3.33,0.63,55%,45%,19,4,9,1,10,3,,,15,7,7,0,2,2,12,12,1,4,5,12,,,1,1,540,366,481,282,,,122,82,52,16,,,,,,,,
19.08.2023 08:30,Wolfsburgo,Heidenheim,2,0,3.24,1.29,51%,49%,18,13,8,1,10,12,,,3,9,1,7,2,0,11,15,1,6,10,9,,,3,0,455,476,378,386,,,121,137,33,53,,,,,,,,
18.08.2023 13:30,Werder Bremen,Bayern Múnich,0,4,0.57,2.62,32%,68%,6,25,1,10,5,15,,,11,20,0,6,3,0,9,21,6,1,16,11,,,2,1,226,652,172,600,,,68,139,22,71,,,,,,,,
