Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
08.04.2023 02:00,SKA Khabarovsk,Neftekhimik,0,0
07.04.2023 12:30,Baltika,Rodina Moscow,0,0
07.04.2023 10:00,Volgar-Astrakhan,Rubin Kazan,0,0
02.04.2023 11:00,Kuban,Yaroslavl,2,0
02.04.2023 09:30,Neftekhimik,Arsenal Tula,1,0
02.04.2023 09:00,Kamaz,Alania Vladikavkaz,1,0
02.04.2023 08:00,Ulyanovsk,Volgar-Astrakhan,0,3
02.04.2023 07:00,Dynamo Makhachkala,Baltika,0,0
02.04.2023 07:00,Rubin Kazan,Veles Moscow,1,1
02.04.2023 05:00,Yenisey,Krasnodar 2,0,0
02.04.2023 03:30,Ufa,SKA Khabarovsk,3,0
01.04.2023 07:00,Rodina Moscow,Akron Togliatti,1,3
26.03.2023 12:00,Baltika,Kamaz,1,0
26.03.2023 09:00,SKA Khabarovsk,Yenisey,0,0
26.03.2023 08:00,Arsenal Tula,Ufa,2,1
26.03.2023 08:00,Yaroslavl,Neftekhimik,3,0
26.03.2023 07:00,Akron Togliatti,Dynamo Makhachkala,2,0
26.03.2023 07:00,Krasnodar 2,Rodina Moscow,1,0
26.03.2023 07:00,Volgar-Astrakhan,Kuban,1,1
26.03.2023 06:00,Veles Moscow,Ulyanovsk,0,0
25.03.2023 05:00,Alania Vladikavkaz,Rubin Kazan,0,0
19.03.2023 10:00,Baltika,Akron Togliatti,1,1
19.03.2023 09:30,Neftekhimik,Volgar-Astrakhan,1,1
19.03.2023 08:00,Dynamo Makhachkala,Krasnodar 2,1,0
19.03.2023 08:00,Kuban,Veles Moscow,3,2
19.03.2023 08:00,Ulyanovsk,Alania Vladikavkaz,2,1
19.03.2023 04:00,Ufa,Yaroslavl,1,2
18.03.2023 09:00,Kamaz,Rubin Kazan,0,0
18.03.2023 07:00,Rodina Moscow,SKA Khabarovsk,2,0
17.03.2023 06:30,Yenisey,Arsenal Tula,1,0
13.03.2023 09:00,Alania Vladikavkaz,Kuban,1,1
12.03.2023 11:00,Yaroslavl,Yenisey,2,2
12.03.2023 09:00,SKA Khabarovsk,Dynamo Makhachkala,0,1
12.03.2023 08:00,Arsenal Tula,Rodina Moscow,2,3
12.03.2023 07:00,Krasnodar 2,Baltika,0,3
12.03.2023 07:00,Rubin Kazan,Ulyanovsk,1,0
12.03.2023 07:00,Volgar-Astrakhan,Ufa,1,0
12.03.2023 06:00,Veles Moscow,Neftekhimik,4,1
11.03.2023 07:00,Akron Togliatti,Kamaz,2,0
06.03.2023 12:00,Baltika,SKA Khabarovsk,2,0
06.03.2023 09:30,Kuban,Rubin Kazan,1,2
06.03.2023 09:00,Kamaz,Ulyanovsk,0,0
05.03.2023 09:30,Neftekhimik,Alania Vladikavkaz,0,0
05.03.2023 08:00,Dynamo Makhachkala,Arsenal Tula,0,0
05.03.2023 07:00,Rodina Moscow,Yaroslavl,2,1
