Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
02.09.2023 15:00,Bragantino,Gremio,1.555555555555556,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.09.2023 15:00,Coritiba,Bahia,0.8888888888888888,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.09.2023 15:00,Cuiabá,América-MG,1.333333333333333,1.111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.09.2023 15:00,Flamengo,Athletico-PR,1.875,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.09.2023 15:00,Fortaleza,Corinthians,1.111111111111111,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.09.2023 15:00,Internacional,Sao Paulo,1.111111111111111,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.09.2023 15:00,Palmeiras,Goiás,2,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.09.2023 15:00,Santos,Cruzeiro,1.6,1.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.09.2023 15:00,Vasco,Fluminense,0.5555555555555556,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.09.2023 15:00,América-MG,Bragantino,1.125,1.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.09.2023 15:00,Athletico-PR,Internacional,1.888888888888889,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.09.2023 15:00,Atlético-MG,Cuiabá,1.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.09.2023 15:00,Bahia,Santos,1.555555555555556,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.09.2023 15:00,Corinthians,Botafogo,1.428571428571429,1.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.09.2023 15:00,Fluminense,Cruzeiro,1.5,1.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.09.2023 15:00,Goiás,Flamengo,1.111111111111111,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.09.2023 15:00,Gremio,Palmeiras,2,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.09.2023 15:00,Sao Paulo,Fortaleza,1.8,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.09.2023 15:00,Vasco,Coritiba,0.5555555555555556,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.09.2023 15:00,Botafogo,Goiás,2.222222222222222,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.09.2023 15:00,Bragantino,Palmeiras,1.555555555555556,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.09.2023 15:00,Coritiba,Athletico-PR,0.8888888888888888,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.09.2023 15:00,Cruzeiro,América-MG,0.4,1.111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.09.2023 15:00,Cuiabá,Fluminense,1.333333333333333,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.09.2023 15:00,Flamengo,Bahia,1.875,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.09.2023 15:00,Fortaleza,Gremio,1.111111111111111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.09.2023 15:00,Internacional,Atlético-MG,1.111111111111111,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.09.2023 15:00,Santos,Vasco,1.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.09.2023 15:00,Sao Paulo,Corinthians,1.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 15:00,Athletico-PR,Bragantino,1.888888888888889,1.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 15:00,Atlético-MG,Coritiba,1.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 15:00,Corinthians,Flamengo,1.428571428571429,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 15:00,Cuiabá,Cruzeiro,1.333333333333333,1.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 15:00,Fluminense,Botafogo,1.5,1.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 15:00,Fortaleza,América-MG,1.111111111111111,1.111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 15:00,Goiás,Bahia,1.111111111111111,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 15:00,Internacional,Gremio,1.111111111111111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 15:00,Palmeiras,Santos,2,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
