Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
29.07.2023 14:00,Fluminense,Santos,1,0,1.85,0.17,65%,35%,14,4,8,0,4,4,2,0,17,19,6,2,0,0,24,15,0,7,18,19,,,6,6,588,234,517,185,,,133,45,71,19,1
29.07.2023 14:00,Internacional,Cuiabá,1,2,1.16,0.87,67%,33%,15,11,4,5,5,4,6,2,10,16,7,5,2,1,23,12,3,3,14,11,1,0,5,2,732,342,651,256,,,133,100,65,28,-1
24.07.2023 17:00,Coritiba,Fluminense,2,0,1.83,1.11,32%,68%,8,15,5,4,3,8,0,3,7,15,7,11,0,1,24,34,4,3,16,6,,,2,1,244,660,176,581,,,48,159,32,93,2
23.07.2023 16:30,Vasco,Athletico-PR,0,2,1.26,1.46,54%,46%,16,10,2,2,12,6,2,2,21,17,8,2,2,1,26,14,1,2,18,21,0,1,2,3,479,351,402,288,,,114,67,66,33,-2
23.07.2023 14:00,Bragantino,Internacional,0,0,1.01,0.83,53%,47%,17,10,4,4,11,3,2,3,17,15,13,4,0,3,21,23,4,4,15,14,,,3,2,435,366,326,285,,,120,102,62,32,0
23.07.2023 14:00,Cruzeiro,Goiás,0,1,0.96,0.28,60%,40%,14,6,1,2,8,3,5,1,24,12,13,1,2,2,30,27,1,1,8,22,,,4,5,601,291,499,221,,,138,100,92,39,-1
23.07.2023 14:00,Santos,Botafogo,2,2,0.76,0.81,42%,58%,6,18,2,7,2,10,2,1,19,23,2,8,1,0,18,24,5,0,23,20,,,3,3,290,533,215,447,,,77,118,31,44,0
22.07.2023 19:00,Gremio,Atlético-MG,1,0,0.71,0.87,38%,62%,6,15,2,4,2,8,2,3,16,8,3,8,1,1,20,24,4,1,7,17,,,3,4,352,603,260,513,,,111,142,34,62,1
22.07.2023 16:30,Bahia,Corinthians,0,0,1.33,0.12,56%,44%,16,5,5,1,8,2,3,2,25,14,11,5,2,4,28,25,1,5,13,20,,,3,2,505,373,424,287,,,149,91,77,27,0
22.07.2023 16:30,Cuiabá,Sao Paulo,2,1,2.35,0.33,30%,70%,12,9,6,3,5,5,1,1,17,13,2,4,2,0,15,19,2,4,9,15,,,2,5,225,560,171,498,,,72,109,29,39,1
