Ind. Santa Fe,1.0769230769230769,50.61538461538461,11.384615384615385,3.6153846153846154,5.076923076923077,2.6923076923076925,12.538461538461538,5.076923076923077,1.1538461538461537,17.615384615384617,3.6923076923076925,11.0,0.3076923076923077,3.769230769230769,382.7692307692308,305.84615384615387,12.76923076923077,107.3076923076923,67.84615384615384
Junior,0.8461538461538461,50.76923076923077,9.846153846153847,3.076923076923077,4.923076923076923,1.8461538461538463,10.615384615384615,4.076923076923077,1.3846153846153846,17.23076923076923,3.3076923076923075,12.538461538461538,0.23076923076923078,3.0,353.15384615384613,271.15384615384613,14.461538461538462,93.76923076923077,61.23076923076923
América de Cali,0.6923076923076923,44.15384615384615,13.076923076923077,3.076923076923077,6.846153846153846,3.1538461538461537,8.0,4.384615384615385,1.6923076923076923,22.846153846153847,3.0,12.0,0.15384615384615385,2.5384615384615383,321.84615384615387,236.46153846153845,15.692307692307692,104.92307692307692,71.3076923076923
Dep. Pasto,1.0,42.38461538461539,10.307692307692308,3.923076923076923,4.384615384615385,2.0,13.076923076923077,3.769230769230769,1.8461538461538463,17.23076923076923,2.769230769230769,9.153846153846153,0.3076923076923077,3.0,309.2307692307692,235.15384615384616,12.923076923076923,95.61538461538461,60.92307692307692
Millonarios,1.5,51.333333333333336,12.166666666666666,4.25,4.916666666666667,3.0,10.666666666666666,4.583333333333333,1.6666666666666667,18.583333333333332,3.4166666666666665,11.25,0.16666666666666666,1.75,413.9166666666667,335.0833333333333,15.583333333333334,110.25,70.5
Aguilas Doradas,0.75,47.5,11.916666666666666,3.8333333333333335,6.083333333333333,2.0,11.75,4.0,1.0833333333333333,16.333333333333332,3.0833333333333335,13.25,0.16666666666666666,3.0833333333333335,347.3333333333333,271.6666666666667,14.833333333333334,105.08333333333333,67.16666666666667
Pereira,1.0833333333333333,40.5,10.25,3.4166666666666665,4.333333333333333,2.5,9.166666666666666,3.75,1.1666666666666667,15.5,2.75,11.666666666666666,0.16666666666666666,4.0,309.4166666666667,231.58333333333334,13.416666666666666,86.5,52.0
Ind. Medellín,1.25,48.5,8.75,3.0833333333333335,4.166666666666667,1.5,10.166666666666666,3.5,2.0833333333333335,15.333333333333334,3.6666666666666665,10.5,0.0,2.4166666666666665,381.4166666666667,297.5,12.5,107.08333333333333,62.333333333333336
La Equidad,1.3,44.7,11.8,3.4,5.6,2.8,11.6,3.8,1.5,21.0,4.6,13.5,0.1,3.0,312.8,235.5,14.8,107.0,70.3
Once Caldas,0.9,46.0,10.4,3.2,4.5,2.7,10.7,3.8,1.6,19.0,2.5,11.6,0.0,2.0,348.9,270.6,17.0,112.0,71.0
Patriotas,0.7,40.7,10.6,2.6,4.5,3.5,11.9,4.3,1.7,17.8,3.4,8.1,0.1,2.9,306.9,232.3,13.1,98.9,66.8
Tolima,1.0,45.6,11.1,3.7,4.9,2.5,12.3,3.7,1.6,15.8,3.5,13.1,0.5,3.6,346.2,270.1,12.6,94.3,61.7
Alianza Petrolera,1.0,44.6,9.0,3.4,4.2,1.4,13.1,3.0,1.4,17.4,3.2,10.9,0.0,3.3,318.4,241.4,11.7,111.4,74.8
Cortuluá,0.7,48.5,10.8,3.3,5.2,2.3,12.8,4.0,0.9,18.7,2.8,13.5,0.3,3.5,351.1,273.1,13.2,113.5,78.3
Atl. Nacional,1.3,53.3,15.7,5.2,6.4,4.1,10.0,5.9,1.2,17.5,3.6,8.7,0.1,2.6,421.0,345.7,13.9,105.5,74.1
Atl. Bucaramanga,1.4,47.8,10.9,3.4,5.1,2.4,10.5,4.3,1.8,16.8,3.9,10.4,0.3,2.9,396.3,320.7,14.4,109.2,69.0
Jaguares de Córdoba,0.8,39.4,9.4,3.4,4.2,1.8,10.6,4.1,0.8,16.11111111111111,4.8,10.8,0.1,2.5,292.5,214.1,12.4,102.0,64.9
Deportivo Cali,0.9,43.6,8.4,2.7,3.1,2.6,11.9,2.7,1.9,17.7,3.5,10.6,0.2,3.0,320.4,251.7,14.0,103.5,67.1
Envigado,0.7,49.3,11.6,3.9,4.0,3.7,11.5,3.9,1.1,17.9,3.3,10.7,0.1,2.7,387.6,303.8,11.2,119.5,75.5
U. Magdalena,1.2,48.1,9.6,3.1,4.9,1.6,13.6,2.8,1.2,16.7,3.4,10.1,0.1,3.0,345.5,246.9,13.0,113.9,75.7
